commit,author_date, profile_in, profile_out, conditional_in, conditional_out
b8106ae773c09cb7454cf9988fa494567d503f36.txt,2015-05-22 16:10:43+02:00, 0, 0, 1, 1
094f7aa20e4fb5c752fbdddb47f8cb70bb721f53.txt,2016-02-22 14:28:34+01:00, 0, 0, 3, 0
8622e5db20bf7afb839b4b6550750426ed92e7b6.txt,2015-02-19 10:32:41+00:00, 0, 0, 1, 0
8e0b3dd00a5960ff80b52f3f916d08f91e9961c6.txt,2014-07-28 23:17:34-07:00, 0, 0, 14, 11
1f922f49b0be938664777e18ee37504acaf61613.txt,2013-11-07 12:47:50+01:00, 0, 0, 5, 5
4ee6a90edd9fe579c9e2ddf2b68d436031aeba92.txt,2013-06-07 13:29:35+01:00, 0, 0, 2, 0
58751a43c1fef149f836610316174ac6ab963373.txt,2016-01-26 14:59:38+01:00, 0, 0, 1, 1
64af3272a16c4859892405642b604e4fa5c8cca4.txt,2015-05-12 18:01:34+01:00, 0, 0, 0, 2
c4223d645dd6d78a2cebdccda069fa319a85deca.txt,2013-08-29 12:02:54+01:00, 0, 0, 1, 2
2098e23fca3858e218f055373665fb1cf2188fdc.txt,2013-07-26 11:50:02+01:00, 0, 0, 0, 1
767aa43e315fe6448aae554d5f3e219c329611e2.txt,2013-08-21 15:40:47+01:00, 0, 0, 0, 1
f006b1231c6bfbae9286a062d4b4629a385cd166.txt,2014-05-22 18:04:13-05:00, 0, 0, 4, 0
917723a88380f2d6d3ff1f98c92363bd5970eed4.txt,2014-12-16 11:30:43-08:00, 0, 0, 1, 1
b72002142df3fbc46ae85200659088c668656734.txt,2013-12-16 15:28:26+00:00, 0, 0, 0, 5
1cbef022360a88f8cd45b838c2d615a8450465f9.txt,2014-04-28 21:00:07+02:00, 0, 0, 2, 0
728b4887c12a4bb2ef63a7f0a118708ac08f2c0b.txt,2013-05-15 16:13:23+01:00, 0, 0, 1, 1
8d5f26f6bd0e273649ccf2d4a37308317c0c4612.txt,2014-09-30 15:08:58+01:00, 0, 0, 1, 1
4b51b6f9dfc9d59c3ccc8ad4b0b638ee68cda8fa.txt,2014-05-10 00:08:38+01:00, 0, 0, 2, 0
e96f75fdc1053da344348f7be8d32130b24d21c2.txt,2014-12-12 11:53:26+01:00, 0, 0, 2, 0
339f3b7bf0a04731e6624e5eec2a900cb28a0cde.txt,2014-10-02 10:32:55+01:00, 0, 0, 5, 0
47f60684e3406911855713bccecaf1c8246f2208.txt,2013-05-02 18:07:53+01:00, 0, 0, 1, 0
0c387a82b7acb85d34a09f532906e3e709fd42b8.txt,2015-11-23 10:41:56+01:00, 0, 0, 1, 0
fd6d61e8b4901e398717d59cf6a57eb250368862.txt,2015-05-20 17:06:53+01:00, 0, 0, 4, 0
5541b3be43c3d352807cbf577aa0886fdc350364.txt,2015-07-01 09:06:54+01:00, 0, 0, 0, 1
e059d0cd5f7dbdb6badb9e46492b1b02afa3e96c.txt,2014-03-25 17:03:10+00:00, 0, 0, 0, 5
3bc37ddde0053aea656d918d55244713e729d155.txt,2014-03-04 15:50:59+00:00, 0, 0, 1, 3
54e12a07e6d7d8e38982a7c398ef76a0283e7e8d.txt,2015-03-12 08:31:21+01:00, 0, 0, 1, 0
e0dfe9fb8635d5558a5839891f2f34d803c1d325.txt,2015-03-12 08:31:21+01:00, 0, 0, 1, 0
4b1c58d736eb47f2a56ca2c7d04298a66c740f94.txt,2013-06-14 21:40:35-04:00, 0, 0, 1, 0
e0787cbaf0fd9b125cc56aefc67fb5bc98a94ed3.txt,2015-06-10 11:28:47+02:00, 0, 0, 1, 1
b931cce386bec52abcb6db80b6c73994dba8274e.txt,2013-12-11 21:30:56+01:00, 0, 0, 3, 0
ab121dc91b11ef4e947646f3dca99355b9f866fc.txt,2013-05-18 16:18:34+01:00, 0, 0, 3, 0
219317e8c772ffefd48f9a79045c7fb574565c46.txt,2015-03-25 17:22:30+00:00, 0, 0, 1, 1
94dd510b52dcdc7779d1e55d03b45be903bd7145.txt,2014-04-25 13:41:09+01:00, 0, 0, 0, 3
60b8cb8a47235e874191510bec29050bb9dbded3.txt,2015-09-03 14:19:43-07:00, 0, 0, 0, 0
a80ada64c3735155ecd46ba78f7f38359e456a0b.txt,2016-02-03 12:16:53-08:00, 0, 0, 4, 4
ae7098ae1d8ed13bed52f67f30612e7ecf39d618.txt,2014-04-03 10:35:27-05:00, 0, 0, 3, 0
c501b889af0483b1c73c6ea0a5793c729ab4d6bd.txt,2014-11-14 11:20:14+03:00, 0, 0, 2, 0
30ac768cbfca5d6aaa3719028033c792da789853.txt,2014-05-12 17:19:51+01:00, 0, 0, 1, 0
2adf30950ec73a967f837a54b17bd7cc764105e8.txt,2014-04-25 15:23:03+01:00, 0, 0, 2, 2
f4e12e96c69848cd3840964a41040cc15d7defe9.txt,2014-12-17 17:09:57+00:00, 0, 0, 1, 1
7dd186aa40449f347320992d5f9cddf4225a428d.txt,2013-07-17 12:25:54+01:00, 0, 0, 1, 1
b1b3fc6639ee9d208d3350e0f4ab6e41efe277ea.txt,2015-11-09 20:00:40-08:00, 0, 0, 1, 1
28edc95f18a864285cc8ec4ef46c01347a190650.txt,2015-07-13 17:27:02+01:00, 0, 0, 1, 0
68e33b25c1cba2ef993f0115727b9eb5bf38779e.txt,2014-04-17 23:59:36+02:00, 0, 0, 2, 0
c219f5e57fd3992fc6047c6ea608be2c4951e206.txt,2015-11-12 17:17:28-05:00, 0, 0, 1, 0
345c0fc5a490cc792559eab4c42cbc2e7739e729.txt,2013-09-20 14:35:42+01:00, 0, 0, 1, 0
11b82cc6feeeff4252bc0a75403560c64bdc5a3f.txt,2015-08-17 10:05:52+02:00, 0, 0, 1, 0
28cb13c31d3a33c5c728d8db0aa525f16e9330f8.txt,2015-05-29 22:22:41-05:00, 0, 0, 3, 1
d9f4d6ce912deea0bd064c9bb977bfa7973d5d01.txt,2016-02-29 15:48:46+01:00, 0, 0, 1, 1
c236db04ef4c66342f22e44441432cd36b509990.txt,2015-10-16 11:07:39+01:00, 0, 0, 1, 1
9094706f6a113a7ae7fdf15fba9571489db87d17.txt,2015-03-10 13:37:37+01:00, 0, 0, 1, 1
dc18d8d1bbd8c8cda8ce1880cdd6791e6b1c082a.txt,2015-07-13 10:17:53-07:00, 0, 0, 1, 1
c144cae600fc9d8d826e098c28af0e06fb28c530.txt,2013-11-05 12:20:09+00:00, 0, 0, 1, 1
48800f18189a082f09f9a474ceeeabee70f15f99.txt,2016-04-06 15:26:27-07:00, 0, 0, 1, 1
24fd4a1c7fba2175582151ec00c652ea88137c8d.txt,2015-02-24 13:34:45-08:00, 0, 0, 1, 1
11a093bdc08fa94dd7d380faa4f97731ad1faa6a.txt,2014-05-30 00:31:11+01:00, 0, 0, 1, 1
4a60e3ccf6a7d91a6eeff61d07a478678832be26.txt,2013-11-29 17:20:30+00:00, 0, 0, 1, 0
f2351f1ece80cea64f1a88c5294bb0fd07cbc4b2.txt,2014-06-06 23:12:41-05:00, 0, 0, 6, 0
14d52b6c1819c16db3e76c2634a5aba6aaa139a5.txt,2014-03-12 09:19:00+00:00, 0, 0, 1, 0
ee7c86a07ddcb6b973ea4557ccdcf01cdd78767a.txt,2015-04-27 13:47:42+01:00, 0, 0, 1, 1
670ba33bec4b0e578e6e113fed5b0b2890807472.txt,2014-11-20 14:47:40-08:00, 0, 0, 2, 0
018231d20a291587dc17c2be3c9f0d13c450bcb0.txt,2013-06-17 10:29:44-07:00, 0, 0, 1, 1
f4ccaa874ab95973f16ab14df2d23b61bd48d5a4.txt,2014-08-25 19:45:50+08:00, 0, 0, 2, 0
0fc54b7c5ba3dea522515fc711168ecde4714c58.txt,2015-03-31 09:22:29+02:00, 0, 0, 3, 0
53f67a448f8ef7a47ca5c472c26e1c1a1ef19359.txt,2014-10-02 12:13:01-05:00, 0, 0, 6, 0
997b015d108ef4330e30bb673ce4fb27e9b25e5a.txt,2013-12-17 17:15:05+00:00, 0, 0, 6, 1
640b9d2680739915e2eb87d5d468bdd0c621832a.txt,2013-11-18 10:54:33+00:00, 0, 0, 4, 0
3536fc68f507b113c04e9eb5df6dd7c192e06a86.txt,2013-06-12 12:20:52-07:00, 0, 0, 3, 0
3d4a9d9c849c56076620b0779f3cf0a06bba768d.txt,2016-03-18 10:01:45+01:00, 0, 0, 0, 2
31874090b8e9b55ff6edfefdaac889a1a5188825.txt,2014-10-20 10:14:53+01:00, 0, 0, 1, 1
fd53cbf2f3cb2b8314982dc6c089a8edee662a2e.txt,2015-10-05 13:36:20+01:00, 0, 0, 2, 0
45c8eca4f26805d2720c9bd3594a33a40015b619.txt,2014-08-14 21:35:04-07:00, 0, 0, 1, 0
83f842a22617ff216ec247104567675aa5f9e38b.txt,2015-04-08 10:44:50+01:00, 0, 0, 5, 4
4cf9e0457f271aa2de6cdf2a6cc27a1bcb011e5b.txt,2014-10-09 16:02:10+01:00, 0, 0, 2, 0
fd437797b6c44a6dd77bd74d3729838ab7769b35.txt,2016-03-22 16:03:14+01:00, 0, 0, 4, 0
e2119d33293008fcc876f5fcd58ede2993eb24d6.txt,2015-08-22 17:02:54+09:00, 0, 0, 9, 9
033823f49371ba941f53e1a9d47e9745866246fc.txt,2015-10-13 19:19:57+09:00, 0, 0, 1, 0
c7c685f65fcf5cfa4219060a71ad6f654c187a96.txt,2015-12-16 10:58:54+00:00, 0, 0, 1, 0
efb699de608fa53a41fdf98229348d9c6e3cea47.txt,2015-09-15 13:03:34+09:00, 0, 0, 1, 3
